epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9244,1.62232,1.8726,0.84518,0,0,0,0,nan,nan,nan,0.0003875,0.0003875,0.0003875
2,47.4253,1.60132,1.05003,0.81692,0,0,0,0,nan,nan,nan,0.000781003,0.000781003,0.000781003
3,60.3264,1.70035,0.95049,0.83864,0,0,0,0,nan,nan,nan,0.00116791,0.00116791,0.00116791
4,73.3479,1.74271,0.91227,0.83573,0,0,0,0,2.1969,inf,0.90424,0.00121906,0.00121906,0.00121906
5,90.3761,1.55992,0.88574,0.82466,0.25047,0.00746,0.12648,0.10116,2.22711,inf,1.03213,0.00120875,0.00120875,0.00120875
6,107.87,1.64577,0.90643,0.8294,0.44128,0.07041,0.05189,0.03576,nan,nan,nan,0.00119844,0.00119844,0.00119844
7,120.514,1.61428,0.8706,0.81754,0.47506,0.44578,0.41476,0.20167,nan,nan,nan,0.00118812,0.00118812,0.00118812
8,133.462,1.54345,0.78123,0.80648,0.6352,0.45227,0.53123,0.28247,1.38743,0.78532,0.80192,0.00117781,0.00117781,0.00117781
9,146.376,1.41676,0.69747,0.80992,0.5751,0.59637,0.60569,0.29724,1.47243,0.7279,0.80253,0.0011675,0.0011675,0.0011675
10,159.263,1.50284,0.689,0.80589,0.63196,0.64302,0.64491,0.30866,1.4847,0.75435,0.80593,0.00115719,0.00115719,0.00115719
11,172.244,1.4608,0.6803,0.8029,0.69269,0.56604,0.59999,0.32593,1.29161,0.64653,0.80233,0.00114688,0.00114688,0.00114688
12,185.005,1.41136,0.66687,0.80087,0.61578,0.49434,0.44161,0.20621,nan,nan,nan,0.00113656,0.00113656,0.00113656
13,197.418,1.49818,0.6907,0.81098,0.72957,0.50881,0.54281,0.25992,1.71271,0.8369,0.8317,0.00112625,0.00112625,0.00112625
14,209.808,1.49168,0.69347,0.80547,0.77575,0.63666,0.70431,0.39307,1.2173,0.62182,0.80064,0.00111594,0.00111594,0.00111594
15,222.702,1.35099,0.65668,0.80555,0.70727,0.69494,0.68846,0.37513,1.2882,0.73132,0.79271,0.00110563,0.00110563,0.00110563
16,235.091,1.37477,0.64543,0.79613,0.70937,0.58284,0.6146,0.3269,1.49985,0.73996,0.81245,0.00109531,0.00109531,0.00109531
17,247.498,1.41715,0.66221,0.79473,0.76067,0.61856,0.68501,0.37184,1.26606,0.63131,0.78852,0.001085,0.001085,0.001085
18,260.109,1.40043,0.67619,0.79828,0.69387,0.71382,0.69724,0.38453,1.18716,0.63766,0.78982,0.00107469,0.00107469,0.00107469
19,272.575,1.38497,0.62702,0.78348,0.74378,0.69692,0.69837,0.39431,1.17193,0.63055,0.78267,0.00106437,0.00106437,0.00106437
20,285.353,1.19472,0.58225,0.78603,0.78666,0.69238,0.72012,0.42449,1.09895,0.57111,0.78456,0.00105406,0.00105406,0.00105406
21,298.151,1.27278,0.59007,0.78863,0.81963,0.66878,0.71472,0.41642,1.19933,0.59333,0.78281,0.00104375,0.00104375,0.00104375
22,310.572,1.2547,0.58656,0.78574,0.86701,0.65802,0.73973,0.44014,1.12418,0.5761,0.77743,0.00103344,0.00103344,0.00103344
23,323.317,1.23407,0.55963,0.78434,0.7847,0.62577,0.71231,0.42241,1.0619,0.56181,0.7804,0.00102312,0.00102312,0.00102312
24,335.945,1.16475,0.54718,0.77905,0.74357,0.7066,0.72395,0.44448,1.04435,0.57873,0.77271,0.00101281,0.00101281,0.00101281
25,348.685,1.18119,0.55951,0.7833,0.81203,0.64829,0.731,0.42702,1.07798,0.56996,0.77574,0.0010025,0.0010025,0.0010025
26,361.242,1.28103,0.58869,0.7876,0.72814,0.65459,0.72609,0.41454,1.18137,0.60802,0.78783,0.000992188,0.000992188,0.000992188
27,373.802,1.22582,0.56134,0.78649,0.79421,0.71148,0.75395,0.44542,1.1489,0.5532,0.78291,0.000981875,0.000981875,0.000981875
28,386.532,1.23803,0.55632,0.77231,0.85738,0.71111,0.75902,0.46007,1.07646,0.55198,0.78002,0.000971562,0.000971562,0.000971562
29,399.31,1.15258,0.52641,0.77661,0.91195,0.65422,0.7583,0.47758,1.04049,0.5072,0.77837,0.00096125,0.00096125,0.00096125
30,411.94,1.14434,0.51112,0.77569,0.89067,0.70426,0.77885,0.49068,1.00337,0.50215,0.77504,0.000950937,0.000950937,0.000950937
31,424.706,1.16836,0.52085,0.77221,0.87304,0.65489,0.74366,0.42422,1.14167,0.55656,0.77885,0.000940625,0.000940625,0.000940625
32,437.146,1.16813,0.52427,0.77147,0.83344,0.7058,0.75619,0.4931,0.99479,0.51479,0.77098,0.000930313,0.000930313,0.000930313
33,449.879,1.1719,0.52491,0.76863,0.62852,0.71303,0.59354,0.33663,1.17101,0.96008,0.78839,0.00092,0.00092,0.00092
34,462.281,1.18312,0.52803,0.77183,0.85298,0.71813,0.79213,0.50868,1.02492,0.49141,0.77524,0.000909688,0.000909688,0.000909688
35,475.053,1.0976,0.5106,0.77744,0.71731,0.61335,0.68586,0.3913,1.19514,0.62516,0.78705,0.000899375,0.000899375,0.000899375
36,487.385,1.15026,0.52205,0.77574,0.80811,0.76397,0.79442,0.49554,1.00901,0.49648,0.77171,0.000889062,0.000889062,0.000889062
37,499.819,1.13468,0.50884,0.76757,0.759,0.74102,0.78298,0.47845,1.06981,0.52741,0.77512,0.00087875,0.00087875,0.00087875
38,512.255,1.15382,0.51093,0.7743,0.85062,0.75234,0.80582,0.50909,1.035,0.51244,0.76903,0.000868437,0.000868437,0.000868437
39,525.008,1.16664,0.5157,0.77077,0.8846,0.72301,0.78321,0.50643,1.02941,0.51703,0.7716,0.000858125,0.000858125,0.000858125
40,537.419,1.08063,0.49191,0.76973,0.85159,0.74534,0.79515,0.49651,1.02695,0.48869,0.7723,0.000847813,0.000847813,0.000847813
41,550.013,1.09635,0.48896,0.77397,0.80435,0.72291,0.76183,0.46888,1.09596,0.53849,0.78523,0.0008375,0.0008375,0.0008375
42,562.597,1.09677,0.49493,0.77052,0.79869,0.7341,0.78314,0.49601,0.98904,0.5006,0.76926,0.000827187,0.000827187,0.000827187
43,575.208,1.14128,0.50962,0.76767,0.91856,0.71967,0.80313,0.51377,1.00099,0.50754,0.76902,0.000816875,0.000816875,0.000816875
44,588.129,1.09615,0.49426,0.76849,0.87363,0.73621,0.78541,0.48557,1.01665,0.51426,0.76975,0.000806562,0.000806562,0.000806562
45,600.737,1.054,0.4873,0.77113,0.8679,0.71991,0.79293,0.51283,1.01212,0.50218,0.77487,0.00079625,0.00079625,0.00079625
46,613.1,1.10885,0.48857,0.7667,0.76959,0.72137,0.75956,0.48303,1.05072,0.51873,0.78234,0.000785938,0.000785938,0.000785938
47,625.519,1.10605,0.48689,0.76928,0.81112,0.75932,0.79324,0.50753,1.03144,0.50445,0.77237,0.000775625,0.000775625,0.000775625
48,638.075,1.10997,0.4957,0.76697,0.86039,0.69399,0.78526,0.47683,1.07935,0.51519,0.77413,0.000765313,0.000765313,0.000765313
49,650.5,1.08072,0.47355,0.7726,0.81548,0.75289,0.78844,0.48744,1.03689,0.49553,0.77046,0.000755,0.000755,0.000755
50,663.099,1.13884,0.48871,0.7706,0.87004,0.69668,0.75769,0.45265,1.07632,0.53776,0.777,0.000744688,0.000744688,0.000744688
51,675.465,1.07871,0.47396,0.76809,0.9016,0.72358,0.80161,0.51198,0.96621,0.46866,0.76869,0.000734375,0.000734375,0.000734375
52,688.027,1.09271,0.481,0.76876,0.8264,0.72897,0.78337,0.51961,0.9688,0.50835,0.76549,0.000724062,0.000724062,0.000724062
53,700.925,1.08646,0.47349,0.7662,0.84018,0.76028,0.81353,0.52586,0.95787,0.4781,0.76954,0.00071375,0.00071375,0.00071375
54,713.844,1.06706,0.47097,0.76669,0.83029,0.75047,0.79894,0.5261,0.96743,0.48607,0.76972,0.000703437,0.000703437,0.000703437
55,726.578,1.08222,0.47707,0.76564,0.79981,0.74965,0.79533,0.52572,0.97057,0.48162,0.77134,0.000693125,0.000693125,0.000693125
56,739.489,1.07396,0.47579,0.76063,0.81353,0.75978,0.79181,0.51763,0.96172,0.47218,0.76938,0.000682813,0.000682813,0.000682813
57,751.871,1.03097,0.4647,0.76808,0.83157,0.7131,0.78781,0.51013,1.01056,0.51706,0.77671,0.0006725,0.0006725,0.0006725
58,764.462,1.04299,0.46931,0.76582,0.80057,0.74916,0.80253,0.53754,0.95587,0.48573,0.76962,0.000662188,0.000662188,0.000662188
59,777.225,1.04492,0.46769,0.76631,0.85254,0.7057,0.77846,0.51731,0.9693,0.49671,0.77258,0.000651875,0.000651875,0.000651875
60,789.802,1.03295,0.45709,0.76239,0.87727,0.77289,0.82155,0.52919,0.95163,0.46202,0.77012,0.000641562,0.000641562,0.000641562
61,802.363,1.08236,0.47111,0.76226,0.82911,0.77523,0.80363,0.50343,1.02169,0.49244,0.77151,0.00063125,0.00063125,0.00063125
62,814.998,1.0457,0.47228,0.76477,0.8441,0.75356,0.80847,0.53368,0.97778,0.49482,0.76804,0.000620938,0.000620938,0.000620938
63,827.394,1.01087,0.45941,0.76791,0.85884,0.76524,0.81746,0.5472,0.95305,0.47875,0.76748,0.000610625,0.000610625,0.000610625
64,840.099,1.01665,0.47088,0.76617,0.81517,0.7566,0.79129,0.51127,1.0159,0.50634,0.78045,0.000600313,0.000600313,0.000600313
65,852.708,1.03278,0.47151,0.76015,0.84916,0.71746,0.7972,0.5204,0.96744,0.48437,0.77462,0.00059,0.00059,0.00059
66,865.14,1.04472,0.46409,0.7647,0.87962,0.70048,0.79138,0.52023,0.94247,0.48432,0.76856,0.000579688,0.000579688,0.000579688
67,877.575,0.99259,0.45524,0.76383,0.87977,0.74161,0.80945,0.53375,0.93322,0.47286,0.7672,0.000569375,0.000569375,0.000569375
68,890.023,1.00152,0.4484,0.76383,0.81695,0.76296,0.81593,0.5502,0.8963,0.45524,0.76604,0.000559062,0.000559062,0.000559062
69,902.799,0.9993,0.43937,0.76179,0.89736,0.7429,0.82143,0.55776,0.89222,0.44987,0.76325,0.00054875,0.00054875,0.00054875
70,915.579,1.03398,0.4497,0.75617,0.80885,0.73554,0.78856,0.52729,0.91834,0.47915,0.76461,0.000538438,0.000538438,0.000538438
71,928.025,1.01632,0.44585,0.76176,0.86084,0.77431,0.81006,0.54822,0.90355,0.45877,0.76432,0.000528125,0.000528125,0.000528125
72,940.425,0.98925,0.43829,0.76211,0.83982,0.76093,0.80696,0.54608,0.90146,0.46124,0.76342,0.000517813,0.000517813,0.000517813
73,952.902,0.99142,0.43653,0.7643,0.82398,0.7393,0.81445,0.54634,0.94658,0.47257,0.76765,0.0005075,0.0005075,0.0005075
74,965.352,1.0284,0.44939,0.75979,0.78164,0.76656,0.79115,0.51532,1.04243,0.49585,0.77286,0.000497188,0.000497188,0.000497188
75,977.641,1.00168,0.44011,0.76367,0.9142,0.74453,0.8207,0.56371,0.88776,0.44548,0.76206,0.000486875,0.000486875,0.000486875
76,990.378,0.99579,0.43563,0.75885,0.81227,0.79187,0.8056,0.55094,0.90734,0.45666,0.76746,0.000476562,0.000476562,0.000476562
77,1002.79,0.96364,0.43018,0.76577,0.77584,0.75623,0.79475,0.53917,0.88118,0.45924,0.76566,0.00046625,0.00046625,0.00046625
78,1015.22,1.00899,0.42946,0.75816,0.91946,0.74011,0.82066,0.54965,0.88485,0.44062,0.76479,0.000455937,0.000455937,0.000455937
79,1027.63,0.99884,0.43656,0.7633,0.89137,0.76152,0.81962,0.55976,0.91233,0.45036,0.76459,0.000445625,0.000445625,0.000445625
80,1040.05,0.94608,0.42823,0.76396,0.89264,0.73566,0.80215,0.55177,0.88183,0.44326,0.76269,0.000435312,0.000435312,0.000435312
81,1052.48,0.9572,0.42711,0.76007,0.86133,0.7881,0.80447,0.54674,0.90892,0.45647,0.76601,0.000425,0.000425,0.000425
82,1064.86,0.97342,0.42803,0.75979,0.84784,0.75237,0.80939,0.5529,0.90587,0.44647,0.76565,0.000414688,0.000414688,0.000414688
83,1077.44,0.95644,0.42683,0.76519,0.88548,0.79512,0.82173,0.56482,0.89511,0.44408,0.76492,0.000404375,0.000404375,0.000404375
84,1090.19,0.95236,0.42379,0.76205,0.91798,0.73946,0.8162,0.55285,0.92374,0.45425,0.76561,0.000394063,0.000394063,0.000394063
85,1102.59,0.9139,0.4198,0.76258,0.90025,0.76164,0.82574,0.56956,0.8744,0.42823,0.7627,0.00038375,0.00038375,0.00038375
