epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1400.34,1.03316,0.96991,1.06501,0.72315,0.75117,0.77429,0.54632,0.94,0.78007,1.03931,0.0802063,0.000199937,0.000199937
2,2791.29,1.01701,0.93053,1.06075,0.73714,0.74219,0.77315,0.55229,0.92387,0.78206,1.04482,0.0604062,0.000399839,0.000399839
3,4159.42,1.01544,0.92976,1.06143,0.72652,0.75466,0.77888,0.55336,0.92663,0.75583,1.04303,0.0406057,0.000599351,0.000599351
4,5793.91,1.01238,0.91832,1.05999,0.74613,0.75074,0.79033,0.56013,0.93384,0.73464,1.03933,0.0208045,0.000798179,0.000798179
5,7646.83,1.01064,0.90519,1.05758,0.73479,0.77275,0.79738,0.56648,0.92649,0.72331,1.04134,0.00100235,0.000996034,0.000996034
6,9410,1.00293,0.89213,1.05609,0.74564,0.76899,0.7945,0.56595,0.92533,0.71802,1.04121,0.000993906,0.000993906,0.000993906
7,11158.3,0.99698,0.87964,1.05384,0.7583,0.77553,0.80554,0.57521,0.9219,0.70406,1.03681,0.000991232,0.000991232,0.000991232
8,12549.1,0.99239,0.87013,1.04943,0.75795,0.77435,0.80993,0.57779,0.92095,0.69162,1.03499,0.000988079,0.000988079,0.000988079
9,14139.7,0.98752,0.86088,1.04882,0.76051,0.7845,0.81317,0.58434,0.90968,0.68627,1.03005,0.000984449,0.000984449,0.000984449
10,15669.2,0.98206,0.84699,1.04403,0.75327,0.79159,0.81576,0.58558,0.91028,0.68345,1.03178,0.000980345,0.000980345,0.000980345
11,17412.9,0.9773,0.84696,1.04279,0.75707,0.79131,0.81769,0.59034,0.89954,0.67515,1.03034,0.000975773,0.000975773,0.000975773
12,19125.5,0.97848,0.83497,1.04524,0.75974,0.79193,0.82012,0.591,0.90152,0.67268,1.03086,0.000970736,0.000970736,0.000970736
13,20679.4,0.97038,0.825,1.03905,0.76045,0.79149,0.82204,0.59363,0.89784,0.66672,1.02587,0.000965239,0.000965239,0.000965239
14,22051.5,0.96629,0.81747,1.03703,0.76828,0.793,0.82534,0.59725,0.88935,0.66581,1.0204,0.000959289,0.000959289,0.000959289
15,23406.7,0.96272,0.81324,1.03444,0.76216,0.80082,0.82534,0.59755,0.8886,0.65648,1.02264,0.000952889,0.000952889,0.000952889
16,24861.1,0.96056,0.80367,1.03208,0.76917,0.79702,0.8285,0.60096,0.89169,0.6545,1.02208,0.000946048,0.000946048,0.000946048
17,26571.6,0.95754,0.79796,1.03322,0.77333,0.80297,0.83077,0.60327,0.88839,0.65204,1.02099,0.000938772,0.000938772,0.000938772
18,28382.3,0.95266,0.79412,1.03093,0.77034,0.80124,0.82959,0.60333,0.88298,0.65034,1.0227,0.000931067,0.000931067,0.000931067
19,30181.1,0.95478,0.79326,1.03502,0.76387,0.8141,0.83248,0.60521,0.88325,0.64862,1.02256,0.000922942,0.000922942,0.000922942
20,31815,0.95046,0.78672,1.03086,0.77303,0.81018,0.83506,0.60668,0.88394,0.64464,1.0222,0.000914405,0.000914405,0.000914405
21,33181.7,0.94668,0.77534,1.02751,0.77525,0.81039,0.83642,0.60733,0.88386,0.64224,1.02118,0.000905463,0.000905463,0.000905463
22,34730.9,0.94442,0.7688,1.02575,0.77798,0.80404,0.8375,0.60846,0.88454,0.64139,1.02043,0.000896127,0.000896127,0.000896127
23,36109.3,0.9438,0.76857,1.02436,0.77571,0.80408,0.83751,0.60838,0.88331,0.63987,1.01949,0.000886404,0.000886404,0.000886404
24,37915.2,0.94152,0.76423,1.02399,0.76796,0.81093,0.83603,0.60851,0.88161,0.64019,1.01924,0.000876305,0.000876305,0.000876305
25,39463.7,0.93791,0.75985,1.02326,0.76971,0.81598,0.83889,0.61066,0.88027,0.63838,1.01871,0.000865839,0.000865839,0.000865839
26,41239.8,0.93786,0.75474,1.02438,0.77678,0.81012,0.83888,0.61162,0.8798,0.63644,1.01886,0.000855018,0.000855018,0.000855018
27,43117.7,0.93427,0.75105,1.01933,0.77703,0.81306,0.83963,0.61202,0.87859,0.63476,1.01754,0.000843851,0.000843851,0.000843851
28,44519.6,0.93048,0.74713,1.02113,0.78051,0.81235,0.83916,0.61175,0.87887,0.63319,1.01768,0.000832349,0.000832349,0.000832349
29,45933.7,0.93172,0.74348,1.02177,0.77908,0.81471,0.83939,0.61183,0.87839,0.63381,1.0184,0.000820525,0.000820525,0.000820525
30,47276,0.9307,0.73789,1.02069,0.7798,0.81467,0.84059,0.61235,0.87787,0.63244,1.01837,0.000808389,0.000808389,0.000808389
31,48646,0.92866,0.73286,1.01728,0.77794,0.81598,0.84031,0.61236,0.87792,0.63104,1.01792,0.000795954,0.000795954,0.000795954
32,50010.5,0.92191,0.72384,1.01691,0.77455,0.82013,0.84011,0.61308,0.8779,0.63015,1.01765,0.000783231,0.000783231,0.000783231
33,51980.4,0.92353,0.72304,1.01539,0.77551,0.81838,0.83975,0.61356,0.87768,0.62988,1.01738,0.000770234,0.000770234,0.000770234
34,53705.9,0.91771,0.71571,1.01161,0.77509,0.8176,0.84039,0.61435,0.87721,0.63001,1.01668,0.000756976,0.000756976,0.000756976
