epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,895.783,1.22073,1.64771,0.00374,0.57033,0.64608,0.5215,0.35623,1.05763,1.04161,0.00504,0.00997475,0.00332492,0.00997475,0.00332492,0.00997475,0.00332492,0.00997475,0.00332492
2,1665.43,1.20403,1.13721,0.00367,0.57626,0.69413,0.5643,0.38803,1.08029,1.02214,0.00527,0.0199352,0.00664507,0.0199352,0.00664507,0.0199352,0.00664507,0.0199352,0.00664507
3,2446.62,1.24118,1.13113,0.00385,0.56601,0.64733,0.58149,0.38791,1.12776,1.0643,0.00573,0.029856,0.00995202,0.029856,0.00995202,0.029856,0.00995202,0.029856,0.00995202
4,3219.11,1.26166,1.12467,0.00398,0.59567,0.65388,0.60855,0.40873,1.11645,1.01659,0.00557,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,3991.24,1.23736,1.08895,0.00391,0.66154,0.67117,0.67044,0.45918,1.09756,0.97154,0.00554,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,4776.1,1.2216,1.05088,0.00386,0.67151,0.70427,0.70695,0.48414,1.08347,0.89024,0.00542,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,5563.71,1.21383,1.02576,0.00384,0.68984,0.70087,0.71726,0.49359,1.07323,0.87671,0.00539,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,6351.48,1.2057,0.99897,0.00377,0.70534,0.70536,0.72378,0.49696,1.07099,0.87315,0.00534,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,7137.25,1.20165,0.97581,0.00375,0.70505,0.72101,0.73677,0.50642,1.07696,0.83113,0.00534,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,7916.34,1.19342,0.9523,0.00371,0.70332,0.71509,0.73927,0.51364,1.06211,0.83836,0.00532,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,8695.57,1.18688,0.94156,0.00372,0.7188,0.73184,0.75342,0.52758,1.05081,0.81565,0.0052,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,9470.7,1.18262,0.92565,0.00368,0.73629,0.73234,0.76499,0.53509,1.0484,0.79346,0.00519,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,10212.3,1.17823,0.9184,0.00368,0.72282,0.7548,0.77346,0.54155,1.03769,0.77218,0.00508,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,10992.4,1.1748,0.90254,0.00367,0.7349,0.74057,0.77247,0.5378,1.05041,0.77518,0.0052,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,11784.8,1.17469,0.90112,0.00368,0.73877,0.7476,0.77794,0.54619,1.03457,0.75435,0.00504,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,12576.4,1.17263,0.89327,0.00368,0.72251,0.76096,0.78151,0.54867,1.02621,0.74887,0.00503,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,13342.6,1.17102,0.88252,0.00365,0.74825,0.75403,0.78944,0.55678,1.02229,0.73344,0.005,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,14125.9,1.16247,0.87175,0.00362,0.73918,0.76484,0.78914,0.55721,1.01855,0.73265,0.005,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,14911,1.16394,0.86895,0.0036,0.74588,0.75831,0.79319,0.55891,1.01942,0.72247,0.00499,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
