epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,820.092,1.08145,1.39002,0.97033,0.55363,0.68727,0.53898,0.36418,0.96644,1.07338,0.93529,0.00997475,0.00332492,0.00997475,0.00332492,0.00997475,0.00332492,0.00997475,0.00332492
2,1523.48,1.11502,1.12964,0.97064,0.53936,0.67043,0.53062,0.35148,1.01451,1.08773,0.95993,0.0199352,0.00664507,0.0199352,0.00664507,0.0199352,0.00664507,0.0199352,0.00664507
3,2251.51,1.1503,1.14833,0.98939,0.43992,0.62355,0.47733,0.31055,1.04077,1.22782,0.98216,0.029856,0.00995202,0.029856,0.00995202,0.029856,0.00995202,0.029856,0.00995202
4,2980.97,1.13223,1.13621,0.99195,0.48409,0.55884,0.42145,0.27849,1.03666,1.17549,0.98392,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,3710.55,1.08221,1.09199,0.98054,0.56649,0.7062,0.55478,0.37568,0.96871,1.00291,0.95752,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,4435.5,1.05474,1.06198,0.9713,0.61283,0.7075,0.61146,0.41717,0.94544,0.97803,0.9448,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,5166.39,1.03884,1.04348,0.96837,0.61283,0.71205,0.63605,0.43525,0.94317,0.96191,0.94517,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,5906.67,1.02723,1.02737,0.96225,0.64453,0.72022,0.66619,0.45614,0.9422,0.93713,0.94651,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,6664,1.02171,1.01294,0.96014,0.61702,0.71912,0.66473,0.45921,0.9264,0.91987,0.93955,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,7407.85,1.01117,0.99381,0.95693,0.65864,0.72643,0.70743,0.48866,0.92047,0.8794,0.93693,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,8159.8,1.00777,0.97883,0.95772,0.66923,0.72824,0.70972,0.49452,0.91527,0.88233,0.93334,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,8898.09,1.00212,0.95966,0.95442,0.68853,0.72142,0.72187,0.50295,0.91049,0.84352,0.93148,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,9623.89,0.99885,0.94431,0.95341,0.71042,0.73495,0.74926,0.52365,0.90781,0.80873,0.93081,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,10380,0.99603,0.92727,0.95105,0.71341,0.73011,0.75506,0.52812,0.90334,0.78231,0.92865,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,11088.3,0.99419,0.91533,0.95288,0.72348,0.74466,0.76393,0.53573,0.89822,0.77457,0.92982,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,11794.2,0.99027,0.90278,0.95053,0.72764,0.75401,0.77256,0.53983,0.89779,0.7629,0.92778,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,12535.6,0.98876,0.89066,0.95033,0.73681,0.74932,0.7801,0.5478,0.89224,0.75141,0.92598,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,13283.6,0.98286,0.88084,0.94812,0.73621,0.74741,0.77986,0.54708,0.89016,0.7399,0.92619,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
