epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.36373,1.40006,11.0356,0.6928,2.14923,1.79995,0.53571,1,0.59981,0.49719,0,0,0,0,0.66463,11.8782,0.69931,5.45848,1.10404,0.00026,0.00026,0.00026
2,16.1319,0.86217,10.8509,0.65402,0.75216,1.29591,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.000535545,0.000535545,0.000535545
3,23.8275,0.9291,10.7442,0.62043,0.83163,1.33699,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00080647,0.00080647,0.00080647
4,31.5096,0.94188,10.4937,0.58077,0.76359,1.31628,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00107277,0.00107277,0.00107277
5,39.1605,0.89563,10.4639,0.55902,0.73622,1.29801,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00133446,0.00133446,0.00133446
6,46.8775,0.91643,10.4435,0.54651,0.75444,1.29648,0.03488,0.3,0.02178,0.00421,0,0,0,0,nan,nan,nan,nan,nan,0.00159152,0.00159152,0.00159152
7,54.4705,0.85741,10.2581,0.5444,0.7018,1.27375,0,0,0,0,0,0,0,0,6.07414,11.4982,0.94048,6.48995,7.21086,0.00184397,0.00184397,0.00184397
8,62.1323,0.78888,10.3461,0.53375,0.62901,1.21055,0.9715,0.03333,0.03671,0.01469,0,0,0,0,4.84403,11.7594,0.77131,5.72682,4.53044,0.0018845,0.0018845,0.0018845
9,69.7618,0.89815,10.491,0.53267,0.66121,1.27265,0.26422,0.57466,0.22093,0.04858,0,0,0,0,2.82674,11.0609,0.72707,3.13736,2.87828,0.001868,0.001868,0.001868
10,77.4329,0.8958,10.3626,0.52953,0.65349,1.26025,0,0,0,0,0,0,0,0,6.55008,11.9182,0.94405,5.67298,9.32459,0.0018515,0.0018515,0.0018515
11,85.041,0.76029,10.1345,0.52973,0.62539,1.20316,0,0,0,0,0,0,0,0,5.59961,11.8899,0.75686,15.3681,5.04641,0.001835,0.001835,0.001835
12,92.7051,0.66087,10.1443,0.52471,0.57248,1.13737,0,0,0,0,0,0,0,0,5.71382,11.6425,0.91646,4.51755,8.55373,0.0018185,0.0018185,0.0018185
13,100.329,0.68329,9.85197,0.51794,0.58235,1.13916,0.83219,0.76667,0.75301,0.40051,0,0,0,0,1.71502,10.4522,0.64154,1.51482,2.55082,0.001802,0.001802,0.001802
14,108.029,0.64452,9.95513,0.51933,0.54669,1.1101,0.95842,0.93333,0.96275,0.78947,0,0,0,0,0.75463,10.1527,0.71622,0.76041,1.08977,0.0017855,0.0017855,0.0017855
15,116.053,0.62501,9.68082,0.50982,0.54374,1.11767,0.38128,0.33333,0.3638,0.16698,0,0,0,0,1.38446,11.0136,0.62996,2.36281,1.49097,0.001769,0.001769,0.001769
16,123.738,0.65256,9.47274,0.49711,0.55246,1.12979,0.56591,0.9,0.78716,0.49514,0,0,0,0,1.00871,9.96662,0.72074,1.39151,1.12917,0.0017525,0.0017525,0.0017525
17,131.371,0.61094,9.51973,0.49009,0.52118,1.11141,0.62291,0.76667,0.81686,0.4851,0,0,0,0,1.25609,10.4358,0.64023,2.29982,1.38145,0.001736,0.001736,0.001736
18,139.044,0.59319,9.59695,0.4767,0.51219,1.10826,0.44878,0.73277,0.59585,0.24785,0,0,0,0,2.11421,11.3653,0.84646,2.01092,2.06912,0.0017195,0.0017195,0.0017195
